GrLivArea,TotalBath,BedroomAbvGr,OverallQual,Age,TotalSF,GarageCars,IsRemodeled,SalePrice
1710,2.5,3,7,5,2566,2,0,208500
1262,2.0,3,6,31,2524,2,0,181500
1786,2.5,3,7,7,2706,2,1,223500
1717,1.0,3,7,91,2473,3,1,140000
2198,2.5,4,8,8,3343,3,0,250000
1362,1.5,1,5,16,2158,2,1,143000
1694,2.0,3,8,3,3380,2,1,307000
2090,2.5,3,7,36,3197,2,0,200000
1774,2.0,2,7,77,2726,2,1,129900
1077,1.0,2,5,69,2068,1,1,118000
1040,1.0,3,5,43,2080,1,0,129500
2324,3.0,4,9,1,3499,3,1,345000
912,1.0,2,5,46,1824,1,0,144000
1494,2.0,3,7,1,2988,3,1,279500
1253,1.5,2,6,48,2506,1,0,157000
854,1.0,2,7,78,1686,2,1,132000
1004,1.0,2,6,40,2008,2,0,149000
1296,2.0,2,4,39,1296,2,0,90000
1114,1.5,3,5,4,2228,2,0,159000
1339,1.0,3,5,51,2368,1,1,139000
2376,3.5,4,8,1,3534,3,1,325300
1108,1.0,3,7,77,1745,1,1,139400
1795,2.0,3,8,6,3572,2,0,230000
1060,1.0,3,5,31,2100,2,0,129900
1060,1.0,3,5,42,2120,1,1,154000
1600,2.0,3,8,2,3166,3,0,256300
900,1.0,3,5,59,1800,2,1,134800
1704,2.0,3,8,3,3408,3,1,306000
1600,1.0,2,5,49,3084,1,1,207500
520,1.0,1,4,81,1040,1,1,68500
1317,1.0,3,4,88,1966,1,1,40000
1228,1.5,3,5,42,2456,1,1,149350
1234,2.0,3,8,1,2468,2,0,179900
1700,1.5,4,5,51,3098,2,0,165500
1561,2.0,2,9,2,3122,2,0,277500
2452,3.5,4,8,2,3569,3,1,309000
1097,1.5,3,5,15,2194,2,1,145000
1297,1.0,3,5,55,2594,2,1,153000
1057,1.0,3,5,57,2114,1,1,109000
1152,2.0,2,4,53,1152,0,0,82000
1324,2.0,3,6,41,2412,2,0,160000
1328,1.5,2,5,48,2678,1,0,170000
884,1.0,2,5,24,1724,2,0,144000
938,1.0,3,5,33,1876,1,1,130250
1150,1.0,3,5,47,2300,1,0,141000
1752,2.0,2,9,5,3504,2,0,319900
2149,1.5,1,7,6,3583,2,0,239686
1656,2.0,3,8,1,3312,3,0,249700
1452,2.0,2,4,89,2188,0,1,113000
955,1.0,3,5,41,1910,1,0,127000
1470,2.0,3,6,10,2264,2,0,177000
1176,1.0,3,6,72,1632,2,1,114500
816,1.0,2,5,47,1632,2,0,110000
1842,0.5,0,9,25,3684,3,1,385000
1360,1.0,3,5,52,1744,2,0,130000
1425,2.0,3,6,44,2850,2,0,180500
1739,2.5,3,8,10,2709,2,1,172500
1720,2.5,3,7,2,2580,2,0,196500
2945,3.5,3,10,0,4355,3,0,438780
780,1.0,2,5,36,1560,1,0,124900
1158,1.5,3,6,2,2316,2,0,158000
1111,1.0,3,5,87,1641,1,1,101000
1370,2.0,2,8,1,2740,2,0,202500
1710,2.0,3,7,89,2286,2,1,140000
2034,2.5,3,7,12,3091,2,1,219500
2473,2.5,4,8,3,3616,3,1,317000
2207,2.0,3,7,40,4154,2,1,180000
1479,2.0,3,7,4,2932,2,0,226000
747,1.0,2,4,65,1494,1,1,80000
2287,2.0,3,7,53,3591,2,0,225000
2223,2.0,3,7,34,4446,2,0,244000
845,1.0,2,4,25,1690,2,1,129500
1718,2.5,3,7,11,2550,2,0,185000
1086,1.0,3,5,56,2172,2,1,144900
1605,2.0,3,3,95,2445,1,1,107400
988,1.0,2,4,36,1450,1,0,91000
952,1.0,2,4,52,1904,1,0,135750
1285,1.0,2,5,60,1957,1,1,127000
1768,2.0,4,4,42,3536,0,0,136500
1230,1.5,2,5,99,1670,2,1,110000
2142,2.5,4,6,41,3038,1,0,193500
1337,2.0,2,6,8,2574,2,0,153500
1563,2.0,3,8,1,3126,3,0,245000
1065,1.5,3,5,47,2130,2,0,126500
1474,2.5,3,7,14,1858,2,1,168500
2417,2.5,4,8,15,3705,2,1,260000
1560,2.5,3,6,4,2244,2,0,174000
1224,2.5,2,6,0,1836,2,0,164500
1526,1.0,2,3,94,2026,0,1,85000
990,1.0,3,4,13,1980,0,1,123600
1040,1.0,2,4,56,1040,2,0,109900
1235,1.0,2,5,45,2470,2,0,98600
964,1.0,2,5,88,1840,2,1,163500
2291,2.0,4,6,97,3505,2,1,133900
1786,2.5,3,6,10,2610,2,0,204750
1470,2.5,3,6,16,2150,2,0,185000
1588,2.0,3,7,7,3176,2,0,214000
960,1.0,3,4,42,1920,1,0,94750
835,1.0,2,5,90,1293,1,1,83000
1225,1.5,3,4,51,2175,0,0,128950
1610,2.0,3,6,33,3220,2,1,205000
1732,2.5,3,6,25,2473,2,0,178000
1535,2.0,4,5,30,1535,2,0,118964
1226,2.0,3,7,1,2452,3,0,198900
1818,1.5,4,7,76,2858,1,1,169500
1992,2.5,3,8,5,3045,2,1,250000
1047,1.0,2,4,122,1688,1,1,100000
789,1.0,2,5,60,1578,1,1,115000
1517,2.0,3,5,88,2310,0,1,115000
1844,2.0,3,6,33,3688,2,0,190000
1855,2.0,4,6,52,2849,1,1,136900
1430,2.5,3,7,10,1814,2,0,180000
2696,2.5,4,7,0,3960,3,0,383970
2259,2.0,3,6,54,4068,2,0,217000
2320,2.5,3,6,62,3348,1,1,259500
1458,2.5,2,6,8,2187,2,0,176000
1092,1.0,3,5,47,2184,1,0,139000
1125,1.5,2,5,1,2250,2,1,155000
3222,3.0,5,7,20,4895,3,0,320000
1456,2.5,3,6,1,2184,2,1,163990
988,1.0,1,6,37,1926,2,0,180000
1123,1.0,3,4,68,1855,1,1,100000
1080,1.0,3,6,50,2160,1,0,136000
1199,2.0,2,6,15,2398,2,0,153900
1586,2.0,3,6,30,2948,2,1,181000
754,1.0,2,6,71,1040,0,1,84500
958,2.0,2,6,31,2036,2,0,128000
840,1.0,3,5,77,1512,0,1,87000
1348,1.5,3,6,40,2008,2,0,155000
1053,1.5,3,5,48,2061,2,1,150000
2157,2.5,4,7,40,3081,2,0,226000
2054,2.5,3,6,9,3046,2,0,244000
1327,1.0,3,5,48,2390,2,1,150750
1296,2.0,2,8,8,2563,2,1,220000
1721,2.5,3,5,38,3182,2,1,180000
1682,2.0,3,7,38,2986,2,0,174000
1214,2.0,3,5,40,2428,1,0,143000
1959,3.0,5,7,18,3866,3,1,171000
1852,2.5,3,8,9,2856,3,1,230000
1764,2.5,3,6,12,2692,2,0,231500
864,1.0,3,4,39,1728,0,0,115000
1734,2.0,3,7,1,3468,2,0,260000
1385,2.0,4,5,58,2295,2,0,166000
1501,2.0,3,7,10,2991,2,0,204000
1728,2.0,6,5,43,3456,2,0,125000
1709,2.0,3,6,2,2679,2,1,130000
875,1.0,2,5,78,1590,1,1,105000
2035,2.5,3,7,9,2919,2,0,222500
1080,1.0,3,7,4,2160,0,1,141000
1344,1.0,3,5,70,2240,1,1,115000
969,1.5,3,5,32,1938,2,0,122000
1710,2.0,2,8,1,3420,3,1,372402
1993,2.5,4,6,35,2818,2,0,190000
1252,1.0,1,6,48,2854,2,1,235000
1200,1.0,4,6,83,2400,1,1,125000
1096,1.0,2,6,84,1668,0,1,79000
1040,1.0,2,5,56,1040,2,0,109500
1968,2.5,4,8,1,2742,3,1,269500
1947,2.5,3,7,6,2938,2,1,254900
2462,2.5,4,7,1,3854,2,1,320000
1232,2.0,3,6,24,2464,2,0,162500
2668,2.5,3,9,5,4240,3,1,412500
1541,2.0,3,7,5,3082,2,0,220000
882,1.0,1,4,51,1764,0,0,103200
1616,2.0,3,6,81,2765,1,1,152000
1355,2.0,4,5,68,1999,0,1,127500
1867,1.0,2,5,54,3484,1,1,190000
2161,1.5,3,8,0,3743,3,0,325624
1720,2.5,3,7,3,2560,2,0,183500
1707,2.5,2,8,25,3393,2,0,228000
1382,1.5,2,5,66,1574,2,1,128500
1656,1.0,3,6,50,2736,2,0,215000
1767,2.0,2,7,19,2831,2,0,239000
1362,1.5,3,6,47,2724,2,0,163000
1651,2.0,3,6,22,3257,2,0,184000
2158,2.0,4,6,57,3360,2,1,243000
2060,2.5,4,6,19,3211,2,1,211000
1920,2.0,4,5,48,2972,2,0,172500
2234,2.0,1,9,1,4450,3,1,501837
968,1.0,2,5,84,1936,2,1,100000
1525,2.5,3,6,7,2281,2,0,177000
1802,1.5,4,7,86,2595,1,1,200100
1340,1.0,3,5,50,1340,1,1,120000
2082,2.5,3,7,5,3444,2,0,200000
1252,1.0,3,5,98,1756,2,1,127000
3608,2.5,4,10,114,4143,3,1,475000
1217,2.0,3,7,19,2405,2,1,173000
1656,2.5,3,5,93,2172,1,1,135000
1224,1.0,2,5,30,2310,2,0,153337
1593,1.5,0,8,7,3186,2,1,286000
2727,2.5,3,8,75,3580,2,1,315000
1479,1.5,4,7,35,2204,2,1,184000
1431,2.0,3,7,10,2862,2,0,192000
1709,2.0,3,7,2,2679,2,0,130000
864,1.0,3,5,36,1728,1,0,127000
1456,2.5,3,6,33,2311,2,0,148500
1726,2.0,3,7,0,3452,3,0,311872
3112,2.0,4,8,88,4080,2,1,235000
2229,1.0,5,6,97,2613,0,1,104000
1713,2.0,3,8,5,3426,3,1,274900
1121,2.0,2,4,7,2242,2,1,140000
1279,2.0,3,6,31,2475,2,0,171500
1310,2.0,2,6,82,1927,1,1,112000
848,1.0,1,6,4,1696,2,0,149000
1284,1.5,2,5,62,2004,1,1,110000
1442,2.0,3,7,19,2866,2,0,180500
1696,1.5,3,5,45,2836,1,0,143900
1100,1.0,3,4,48,2200,1,0,141000
2062,2.5,3,7,19,3219,2,1,277000
1092,1.0,3,6,44,2184,2,0,145000
864,1.0,2,5,83,1728,0,1,98000
1212,2.0,3,6,1,2424,2,0,186000
1852,2.5,3,7,0,2752,2,0,252678
990,1.0,3,5,11,1980,2,0,156000
1392,1.5,3,6,33,2081,1,0,161750
1236,1.0,2,5,49,2306,1,1,134450
1436,2.0,3,7,4,2872,2,0,210000
1328,1.0,3,4,81,2014,1,1,107000
1954,1.5,3,7,69,2752,2,1,311500
1248,2.0,2,7,1,2496,2,1,167240
1498,2.0,2,7,0,2996,2,0,204900
2267,2.5,4,6,7,3277,2,0,200000
1552,2.5,3,6,31,2265,2,0,179900
864,1.0,2,4,38,1728,2,0,97000
2392,2.0,3,10,6,4784,3,0,386250
1302,2.5,3,5,38,1932,1,0,112000
2520,2.5,4,7,12,3723,3,0,290000
987,1.5,2,6,38,1470,1,0,106000
912,1.0,3,5,43,1824,1,0,125000
1555,2.0,2,7,4,2928,2,1,192500
1194,1.0,3,6,51,2388,1,0,148000
2794,2.5,4,8,14,4256,3,1,403000
987,1.5,2,6,34,1470,1,0,94500
894,1.0,3,5,34,1788,1,0,128200
1960,2.5,4,6,8,2820,2,0,216500
987,1.5,2,6,37,1470,1,0,89500
1414,2.0,3,7,6,2828,2,0,185500
1744,2.5,3,7,17,2740,2,1,194500
1694,2.0,3,8,0,3388,3,0,318000
1487,1.5,3,6,65,2222,1,1,113000
1566,2.0,3,8,2,3132,2,0,262500
866,1.0,2,5,62,1552,0,1,110500
1440,1.0,3,5,106,1980,1,1,79000
1217,1.5,3,6,29,1843,1,0,120000
2110,2.5,3,7,16,3058,2,1,205000
1872,2.0,3,7,18,3717,2,0,241500
1928,2.0,4,6,96,2948,1,1,137000
1375,1.0,2,6,52,2742,2,0,140000
1668,2.5,3,7,4,2508,2,0,180000
2144,2.0,4,6,49,3588,2,1,277000
1306,1.0,3,3,70,2034,0,1,76500
1625,2.0,2,8,1,3198,2,1,235000
1640,2.5,3,6,4,2438,2,0,173000
1302,2.0,3,6,43,2604,1,1,158000
1314,1.0,3,5,53,2628,1,0,145000
2291,2.5,4,7,7,3266,2,0,230000
1728,2.5,3,6,5,2592,2,0,207500
1604,2.5,3,7,3,3208,2,0,220000
1792,2.5,3,7,7,2755,2,0,231500
882,1.0,2,5,52,882,1,0,97000
1382,1.0,3,6,47,2744,2,0,176000
2574,2.5,3,8,0,4056,3,0,276000
1212,1.0,3,6,29,1718,2,1,151000
1316,1.0,3,5,81,1852,2,1,130000
764,1.0,2,5,83,1444,2,1,73000
1422,2.0,3,6,27,2844,2,0,175500
1511,2.5,3,6,9,2313,2,0,185000
2192,2.5,4,5,69,2492,1,1,179500
778,1.0,2,5,68,1518,1,1,120500
1113,1.5,3,6,31,2256,1,0,148000
1939,2.5,3,8,0,3034,3,0,266000
1363,1.0,2,7,54,2748,2,1,241500
2270,2.5,4,8,11,3422,3,1,290000
1632,2.0,3,6,51,2872,1,1,139000
816,1.0,2,5,25,1632,1,0,124500
1548,2.5,3,7,84,2500,2,1,205000
1560,2.0,3,7,7,3120,2,0,201000
864,1.0,2,4,59,1728,2,0,141000
2121,2.5,3,9,1,4242,3,1,415298
2022,2.5,4,7,31,3182,2,0,192000
1982,2.5,3,7,18,2789,2,0,228500
1262,2.0,2,6,0,2524,2,0,185000
1314,2.0,2,7,2,2628,2,1,207500
1468,2.0,3,8,1,2936,3,1,244600
1575,2.0,2,6,15,3150,2,0,179200
1250,2.5,2,7,1,1875,2,1,164700
1734,1.5,3,6,44,2646,2,1,159000
858,1.0,3,4,35,1716,0,0,88000
900,1.0,3,5,43,1782,1,0,122000
1396,1.0,3,6,92,2094,1,1,153575
1919,2.5,3,8,0,2998,2,0,233230
1716,2.0,6,5,96,2496,0,1,135900
1716,1.5,3,5,60,2484,1,1,131000
2263,2.5,3,7,29,3058,2,1,235000
1644,1.0,3,6,56,3060,2,0,167000
1003,1.0,3,6,22,2006,2,0,142500
1558,1.5,4,5,57,2468,1,0,152000
1950,2.5,3,7,10,2925,2,1,239000
1743,2.0,3,6,39,2445,2,0,175000
1152,1.0,3,6,59,2244,1,1,158500
1336,1.0,2,5,53,2501,1,0,157000
2452,2.5,4,8,9,3480,2,1,267000
1541,2.0,3,7,5,3082,3,1,205000
894,1.0,3,5,34,1788,2,0,149900
3493,3.0,3,7,128,4963,3,1,295000
2000,2.0,3,8,3,4000,3,1,305900
2243,2.5,4,7,17,2943,3,1,225000
1406,1.0,3,6,88,1725,0,1,89500
861,1.0,1,4,69,1722,2,1,82500
1944,2.0,3,9,3,3840,3,1,360000
1501,2.5,3,6,13,2198,2,1,165600
972,1.0,2,6,61,1944,1,1,132000
1118,1.0,3,5,67,1911,2,1,119900
2036,2.0,3,7,44,4172,2,0,375000
1641,1.5,3,7,81,2369,2,1,178000
1432,2.5,3,7,5,2148,2,1,188500
2353,2.5,4,7,29,3198,2,0,260000
1959,2.5,3,8,1,3047,3,0,270000
2646,2.5,4,7,16,3993,3,0,260000
1472,2.0,3,7,29,2844,2,0,187500
2596,3.5,4,9,0,3845,3,0,342643
2468,2.5,4,8,3,3604,3,0,354000
2730,2.5,4,7,21,4232,2,1,301000
1163,1.0,3,3,51,2325,1,1,126175
2978,2.5,5,7,43,3688,2,1,242000
803,1.0,2,5,66,1523,2,1,87000
1719,1.5,1,8,15,3438,2,0,324000
1383,1.5,3,6,46,2766,1,0,145250
2134,2.0,5,6,93,2978,2,1,214500
1192,1.0,3,5,89,1788,1,1,78000
1728,2.0,6,5,43,3456,1,0,119000
1056,1.0,3,5,49,2112,1,1,139000
1629,2.0,3,8,6,4835,3,1,284000
1358,2.0,2,7,4,2716,2,0,207000
1638,2.5,3,6,10,2581,2,0,192000
1786,2.0,3,5,43,3285,2,0,228950
1922,2.0,3,9,2,3844,3,1,377426
1536,2.0,3,7,6,3072,2,1,214000
1621,2.0,3,7,22,2829,2,1,202500
1215,1.0,3,6,51,2430,1,1,155000
1908,2.5,4,8,8,2875,2,0,202900
841,1.0,2,4,59,1562,1,0,82000
1040,2.0,2,3,57,1040,2,1,87500
1684,2.0,2,9,3,3368,2,0,266000
1112,1.5,3,5,34,1648,1,0,85000
1577,1.0,3,6,67,2549,1,1,140200
958,1.0,2,6,47,1916,1,1,151500
1478,2.0,3,6,49,2956,2,0,157500
1626,2.5,2,7,5,2390,2,1,154000
2728,2.5,4,9,1,4576,3,1,437154
1869,2.0,2,9,0,3738,2,0,318061
1453,1.5,2,7,20,2906,2,0,190000
1111,1.0,3,5,67,1727,1,1,95000
720,1.0,2,6,82,1344,2,1,105900
1595,1.0,2,6,66,2535,1,1,140000
1200,2.0,3,6,12,2400,2,0,177500
1167,2.0,3,6,17,2325,2,0,173000
1142,1.5,3,5,31,2284,2,0,134000
1352,1.0,3,5,48,2414,1,0,130000
1924,2.5,3,8,8,3010,2,0,280000
912,1.0,2,6,29,1800,2,0,156000
1505,1.0,3,5,68,2388,1,1,145000
1922,3.0,4,7,6,1922,2,0,198500
987,1.5,2,6,37,1470,1,1,118000
1574,2.5,3,6,30,2370,2,0,190000
1344,1.0,3,5,89,2016,1,1,147000
1394,1.5,3,6,46,2788,2,0,159000
1431,1.0,3,6,46,2530,1,0,165000
1268,1.0,2,5,56,2536,1,0,132000
1287,1.0,3,5,51,2350,2,1,162000
1664,2.5,3,6,6,2617,2,0,172400
1588,2.0,4,4,49,1588,2,0,134432
752,1.0,2,6,26,1496,1,0,125000
1319,1.0,3,5,56,1927,1,0,123000
1928,2.5,4,7,4,2775,2,1,219500
904,0.5,1,1,87,1587,0,1,61000
914,1.0,2,5,10,1784,2,0,148000
2466,3.0,4,8,3,4046,2,1,340000
1856,1.5,1,9,0,3712,3,0,394432
1800,2.5,3,6,9,2782,2,0,179000
1691,2.0,3,5,86,2717,1,1,127000
1301,2.0,2,7,0,2594,2,0,187750
1797,2.5,3,7,1,2736,2,0,213500
784,1.0,2,6,81,1568,2,1,76000
1953,2.5,3,6,15,3533,2,0,240000
1269,2.0,2,8,6,2525,2,1,192000
1184,1.0,5,5,96,1842,0,1,81000
1125,1.0,3,6,33,2166,1,0,125000
1479,2.0,3,7,9,2947,2,1,191000
2332,2.5,3,10,1,4014,3,1,426000
1367,1.0,4,5,108,2228,1,1,119000
1961,2.5,3,6,8,2765,2,1,215000
882,1.0,3,5,48,882,1,0,106500
788,1.0,2,4,65,1576,0,1,100000
1034,1.0,2,5,67,1769,1,1,109000
1144,1.0,3,5,54,2288,1,0,129000
894,1.0,2,5,37,1788,2,0,123000
1812,2.0,4,5,45,2676,1,0,169500
1077,1.0,2,5,87,2038,1,1,67000
1550,2.0,2,7,3,2642,2,1,241000
1288,1.5,1,8,12,2548,2,0,245500
1310,2.0,3,7,1,2620,2,0,164990
672,1.0,2,5,68,1344,1,1,108000
2263,2.5,4,8,8,3404,2,0,258000
1572,2.5,3,6,12,2378,2,1,168000
1620,2.0,3,4,33,2901,2,1,150000
1639,1.0,3,6,72,2230,1,1,115000
1680,2.0,4,6,93,2520,1,1,177000
2172,2.5,3,7,1,3235,3,0,280000
2078,2.5,3,8,1,3112,3,1,339750
1276,1.0,3,5,51,2552,1,0,60000
1056,1.0,3,5,51,2112,2,0,145000
1478,2.5,2,7,1,2948,2,0,222000
1028,1.0,2,5,83,2036,2,1,115000
2097,2.5,3,7,15,3177,3,0,228000
1340,2.0,3,7,0,2680,2,0,181134
1400,1.5,3,6,28,2072,2,0,149500
2624,2.5,4,6,89,3994,3,1,239000
1134,1.5,3,5,67,1890,1,1,126000
1056,1.0,3,5,42,2112,1,0,142000
1344,2.0,2,7,11,2688,4,1,206300
1602,2.0,3,6,32,3204,2,1,215000
988,1.0,2,5,54,1976,2,0,113000
2630,2.5,4,8,10,4100,3,0,315000
1196,1.0,2,6,52,2392,1,0,139000
1389,1.5,3,7,63,2040,1,1,135000
1644,2.0,2,7,20,3162,2,0,275000
907,1.0,3,4,51,1814,1,0,109008
1208,2.0,2,7,0,2416,2,0,195400
1412,2.0,3,6,21,2804,2,0,175000
987,1.5,2,6,37,1470,1,0,85400
1198,1.0,4,6,88,2099,0,1,79900
1365,1.5,2,5,36,2130,2,0,122500
1604,2.5,3,6,11,2530,2,1,181000
630,1.0,1,4,36,1260,0,0,81000
1661,2.5,3,7,13,2460,2,0,212000
1118,1.0,2,6,86,1766,2,1,116000
904,1.0,2,6,83,1788,1,1,119000
694,1.0,2,5,94,1134,1,1,90350
1196,1.0,3,6,89,1880,2,1,110000
2402,2.0,2,10,1,5496,3,0,555000
1440,2.0,4,4,53,2880,0,0,118000
1573,2.0,3,5,78,2651,2,1,162900
1258,2.0,2,7,1,2516,3,1,172500
1908,2.5,4,7,14,2823,2,1,210000
1689,1.0,3,6,53,3125,2,0,127500
1888,2.5,2,6,44,3405,2,1,190000
1886,2.5,4,7,8,2816,2,1,199900
1376,2.0,3,6,69,2156,1,1,119500
1183,1.5,2,3,59,1832,1,1,120000
813,1.0,2,6,76,1626,1,1,110000
1533,2.0,2,7,31,3066,2,0,280000
1756,2.5,3,6,11,2628,2,1,204000
1590,2.5,3,8,1,2358,2,0,210000
1728,2.0,4,5,30,3456,2,0,188000
1242,1.5,3,7,34,2484,2,0,175500
1344,1.0,4,5,92,1968,3,1,98000
1663,1.0,2,4,54,3027,2,1,256000
1666,1.0,3,8,83,2254,1,1,161000
1203,1.0,3,5,59,1912,1,0,110000
1935,2.5,3,8,0,2767,2,0,263435
1135,1.0,3,7,73,1695,2,1,155000
864,1.0,3,5,44,1728,1,0,62383
1660,1.5,3,6,74,2375,1,1,188700
1040,2.0,3,5,31,2080,0,0,124000
1414,2.0,2,7,2,2789,2,0,178740
1277,1.0,2,7,37,2554,2,0,167000
1644,1.5,3,5,65,2372,1,1,146500
1634,2.0,3,8,1,3260,3,0,250000
1710,2.5,3,6,15,2542,2,0,187000
1502,1.5,1,8,25,2990,2,0,212000
1969,2.5,3,7,30,2777,2,0,190000
1072,1.0,2,6,3,1619,2,0,148000
1976,2.0,2,8,1,3952,3,1,440000
1652,2.0,2,8,7,3146,2,0,251000
970,1.0,2,5,44,1940,2,0,132500
1493,2.0,3,6,11,2971,2,1,208900
2643,2.5,3,9,1,4796,3,0,380000
1718,2.0,3,8,2,3423,3,1,297000
1131,1.0,2,4,70,2038,2,1,89471
1850,2.0,3,9,2,3683,3,1,326000
1792,2.0,2,9,3,3584,3,1,374000
1826,1.5,4,7,94,2736,1,1,155000
